geo_type,region,transportation_type,alternative_name,sub-region,country,13/01/2020,14/01/2020,15/01/2020,16/01/2020,17/01/2020,18/01/2020,19/01/2020,20/01/2020,21/01/2020,22/01/2020,23/01/2020,24/01/2020,25/01/2020,26/01/2020,27/01/2020,28/01/2020,29/01/2020,30/01/2020,31/01/2020,01/02/2020,02/02/2020,03/02/2020,04/02/2020,05/02/2020,06/02/2020,07/02/2020,08/02/2020,09/02/2020,10/02/2020,11/02/2020,12/02/2020,13/02/2020,14/02/2020,15/02/2020,16/02/2020,17/02/2020,18/02/2020,19/02/2020,20/02/2020,21/02/2020,22/02/2020,23/02/2020,24/02/2020,25/02/2020,26/02/2020,27/02/2020,28/02/2020,29/02/2020,01/03/2020,02/03/2020,03/03/2020,04/03/2020,05/03/2020,06/03/2020,07/03/2020,08/03/2020,09/03/2020,10/03/2020,11/03/2020,12/03/2020,13/03/2020,14/03/2020,15/03/2020,16/03/2020,17/03/2020,18/03/2020,19/03/2020,20/03/2020,21/03/2020,22/03/2020,23/03/2020,24/03/2020,25/03/2020,26/03/2020,27/03/2020,28/03/2020,29/03/2020,30/03/2020,31/03/2020,01/04/2020,02/04/2020,03/04/2020,04/04/2020,05/04/2020,06/04/2020,07/04/2020,08/04/2020,09/04/2020,10/04/2020,11/04/2020,12/04/2020,13/04/2020,14/04/2020,15/04/2020,16/04/2020,17/04/2020,18/04/2020,19/04/2020,20/04/2020,21/04/2020,22/04/2020,23/04/2020,24/04/2020,25/04/2020,26/04/2020,27/04/2020,28/04/2020,29/04/2020,30/04/2020,01/05/2020,02/05/2020,03/05/2020,04/05/2020,05/05/2020,06/05/2020,07/05/2020,08/05/2020,09/05/2020,10/05/2020,11/05/2020,12/05/2020,13/05/2020,14/05/2020,15/05/2020,16/05/2020,17/05/2020,18/05/2020,19/05/2020,20/05/2020,21/05/2020,22/05/2020,23/05/2020,24/05/2020,25/05/2020,26/05/2020,27/05/2020,28/05/2020,29/05/2020,30/05/2020,31/05/2020,01/06/2020,02/06/2020,03/06/2020,04/06/2020,05/06/2020,06/06/2020,07/06/2020,08/06/2020,09/06/2020,10/06/2020,11/06/2020,12/06/2020,13/06/2020,14/06/2020,15/06/2020,16/06/2020,17/06/2020,18/06/2020,19/06/2020,20/06/2020,21/06/2020,22/06/2020,23/06/2020,24/06/2020,25/06/2020,26/06/2020,27/06/2020,28/06/2020,29/06/2020,30/06/2020,01/07/2020,02/07/2020,03/07/2020,04/07/2020,05/07/2020,06/07/2020,07/07/2020,08/07/2020,09/07/2020,10/07/2020,11/07/2020,12/07/2020,13/07/2020,14/07/2020,15/07/2020,16/07/2020,17/07/2020,18/07/2020,19/07/2020,20/07/2020,21/07/2020,22/07/2020,23/07/2020,24/07/2020,25/07/2020,26/07/2020,27/07/2020,28/07/2020,29/07/2020,30/07/2020,31/07/2020,01/08/2020,02/08/2020,03/08/2020,04/08/2020,05/08/2020,06/08/2020,07/08/2020,08/08/2020,09/08/2020,10/08/2020,11/08/2020,12/08/2020,13/08/2020,14/08/2020,15/08/2020,16/08/2020,17/08/2020,18/08/2020,19/08/2020,20/08/2020,21/08/2020,22/08/2020,23/08/2020,24/08/2020,25/08/2020,26/08/2020,27/08/2020,28/08/2020,29/08/2020,30/08/2020,31/08/2020,01/09/2020,02/09/2020,03/09/2020,04/09/2020,05/09/2020,06/09/2020,07/09/2020,08/09/2020,09/09/2020,10/09/2020,11/09/2020,12/09/2020,13/09/2020,14/09/2020,15/09/2020,16/09/2020,17/09/2020,18/09/2020,19/09/2020,20/09/2020
city,New York City,transit,NYC,New York,United States,100,92.66,95.29,96.42,107.5,101.22,93.41,87.91,94.76,98.07,101.52,114.06,105.16,85.92,91.57,91.79,93.18,98.02,110.46,109.24,83.39,91.31,92.84,93.88,97.57,111.75,117.34,89.88,91.7,95.7,97.68,103.34,118.61,113.45,95.82,100.99,99.87,102.57,104.23,115.72,117.34,87.97,91.49,92.14,94.63,97.48,114.48,115.21,87.01,92.87,93.89,98.65,100.54,108.43,114.48,86.13,92.2,85.1,81.65,69.1,66.28,58.17,40.65,36.57,30.15,27.35,25.2,24.13,18.74,14.97,15.46,16.52,15.32,16.05,17.14,13.4,12.84,15.43,14.55,14.39,13.84,13.76,12.71,12.03,14.26,13.54,13.32,12.73,13.37,12.52,11.25,12.75,14.13,13.42,13.34,13.46,12.1,12.61,14.58,13.49,14.06,14.03,13.83,14.08,12.19,14.98,16.01,15.39,14.9,16.51,16.37,15.64,18.02,17.96,17.03,17.64,16.14,15.41,14.63,,,18.45,18.54,20.14,19.17,17.42,20.05,20.02,20.18,20.81,21.19,18.05,19.4,20.75,23.33,23.22,22.2,23.33,24.22,21.25,24.33,24.42,22.37,24.83,24.1,26.42,25.28,29.69,30.39,29.56,27.4,32.8,30.61,27.9,31.34,32.34,32.05,32.31,37.48,32.9,28.85,37,37.82,37.75,38.22,41.52,35.44,34.24,40.51,38.73,38.98,43.94,38.13,38.15,34.58,39.14,41.36,41.48,45.38,35.25,39.64,41.64,43.21,45.44,44.93,44.67,45.44,48.72,41.67,44.56,46.42,42.97,43.37,46.23,51.61,43.28,47.13,46.83,49.14,47.56,48.66,50.66,39.81,48.54,42.04,53.21,49.81,50.24,51.7,47.33,50.62,50.63,47.64,46.72,55.75,54.6,38.2,51.68,53.73,49.75,55.29,58.65,55.97,47.32,52.29,52.22,53.22,49.8,55.04,47.59,50.17,49.09,49.23,49.11,51.79,59.41,57.42,49,49.15,51.71,51.53,47.97,59.99,60.36,47.2,50.49,50.35,51.16,53.07,58.55,61.66,50.43
city,San Francisco - Bay Area,transit,,California,United States,100,101.59,104.05,97.69,115.19,108.1,92.83,98.47,108.29,114,113.35,122.65,112.84,90.13,107.83,104.67,108.54,110.47,122.26,111.39,87.44,103.25,106.6,108.83,112.99,125.9,121.33,90.89,108.49,111.13,112.76,115.84,129.3,116.41,99.89,101.12,111.35,113.44,116.27,129.56,120.02,98.3,108.15,109.17,113.6,114.74,123.34,110.45,88.94,99.32,103.16,107.46,104.42,116.29,93.85,78.34,95.86,94.8,91.52,80.45,79.75,49.01,42.38,43.54,28.09,26.75,27.13,26.78,18.94,21.62,24.92,22.92,23.28,23.78,21.86,15.46,17.89,21.95,22.88,22.52,21.29,22.66,14.8,16.69,19.14,21.05,19.83,21.28,19.61,14.89,15.92,19.97,19.16,23.26,21.01,24.66,14.62,17.9,19.63,19.62,20.46,20.31,21.32,15.44,17.05,19.17,21.23,21.39,21.31,22.4,16.75,21.17,22.91,22.92,23.03,23.45,24.06,22.7,18.61,,,22.42,22.81,24.4,19.21,20.4,24.1,19.87,23.3,20.82,24.93,20,22.6,25.55,27.53,27.44,26.77,27.35,20.15,22,27.64,26.8,30.03,27.13,28.01,22.91,25.2,30.06,30.61,30.82,31.27,31.68,26.75,24.78,32.5,33.25,32.2,31.22,34.65,26.86,26.47,34.92,33.35,34.08,29.96,31.82,28.32,25.79,34.1,34.63,36.22,35.65,34.27,25.03,29.14,34.33,36.17,36.52,35.68,37.2,29.77,31.46,34.73,34.9,34.51,34.62,35.98,28.05,29.2,28.98,34.55,34.35,31.15,34,29.19,30.46,34.3,35.07,34.71,34.57,34.76,29.71,29.87,35.15,34.41,34.2,37.02,36.21,29.86,31.27,34.9,34.11,35.57,35.43,38.35,35.47,30.52,34.87,36.02,35.9,34.75,36.62,32.25,30.96,35.19,34.92,35.07,34.54,36.68,30.77,31.84,33.91,34.39,35.37,35.37,40.35,34.71,33.04,33.77,33.76,30.04,32.63,33.96,29.93,28.27,31.47,32.73,35.33,35.98,39.01,36.42,30.79
